건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
2001,아파트,44761,2,975085.6468,1953546.722
2001,아파트,44792,2,974914.9536,1953383.195
2001,아파트,44824,2,974947.0142,1953248.29
2001,아파트,44804,2,974906.9828,1953488.136
2001,아파트,44816,2,975008.5918,1953207.334
2001,아파트,44817,2,974977.7412,1953193.166
2001,아파트,44819,2,974926.3595,1953192.838
2001,아파트,44832,2,974832.5619,1953311.754
2001,아파트,44853,2,974801.4572,1953400.496
2001,아파트,44856,2,974770.5197,1953440.967
2001,아파트,44834,2,974781.758,1953293.127
2001,아파트,44838,2,974843.8094,1953257.043
2001,아파트,44841,2,974833.8289,1953359.559
2001,아파트,44843,2,974783.8711,1953349.769
2001,아파트,44616,2,974730.0519,1953342.006
2001,아파트,44621,2,974692.9799,1953359.516
2001,아파트,44630,2,974747.3874,1953391.898
2001,아파트,44806,2,974832.8796,1953479.792
2001,아파트,44823,2,974799.4927,1953258.484
2001,아파트,44794,2,974909.324,1953439.907
2001,아파트,44627,2,974679.6683,1953401.91
2001,아파트,44830,2,974863.8942,1953223.23
2001,아파트,44837,2,974898.2968,1953276.207
2001,아파트,44813,2,974881.9575,1953524.759
2001,아파트,44825,2,974902.4973,1953220.917
2001,아파트,44849,2,974766.5646,1953373.549
2001,아파트,44625,2,974727.497,1953420.938
2001,아파트,44822,2,974927.7867,1953264.543
2001,아파트,44614,2,974740.4242,1953303.752
2001,아파트,66513,2,975034.1095,1953170.31
2001,아파트,46699,2,975105.199,1953168.789
2001,아파트,49245,2,975155.8315,1953460.38
2001,아파트,49247,2,975124.2493,1953465.115
2001,아파트,49246,2,975157.0748,1953471.75
2001,아파트,44879,2,975243.519,1953272.775
2001,아파트,44880,2,975288.2628,1953261.735
2001,아파트,44885,2,975318.3841,1953343.016
2001,아파트,44872,2,975310.6585,1953294.199
2001,아파트,44878,2,975343.4503,1953287.236
2001,아파트,44887,2,975262.3112,1953318.021
2001,아파트,44869,2,975236.9578,1953238.392
2001,아파트,44886,2,975361.5344,1953330.142
2001,아파트,44873,2,975195.0908,1953297.226
2001,아파트,44866,2,975167.897,1953274.311
2001,아파트,44876,2,975268.2891,1953298.092
2001,아파트,54720,2,975222.1323,1953118.923
2001,아파트,54722,2,975299.3391,1953146.178
2001,아파트,54727,2,975327.0695,1953210.946
2001,아파트,54728,2,975264.8732,1953179.679
2001,아파트,54725,2,975220.559,1953141.418
2001,아파트,44949,2,975411.2464,1953218.052
2001,아파트,44915,2,975479.3886,1953165.76
2001,아파트,44939,2,975625.4995,1953179.698
2001,아파트,44941,2,975694.618,1953174.836
2001,아파트,44945,2,975588.9436,1953229.068
2001,아파트,44897,2,975522.4138,1953091.768
2001,아파트,44898,2,975427.561,1953098.069
